VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,PULocationID,DOLocationID,fare_amount,total_amount,trip_duration,average_speed,short_trip_flag,pickup_hour,pickup_day_of_week,is_weekend,tip_percentage,trip_distance_category
1,2019-05-01 00:03:54,2019-05-01 00:26:55,1,4.4,234,33,17.5,25.55,23.016666666666666,11.46994931209269,0,0,2,0,46.0,medium
1,2019-05-01 00:59:03,2019-05-01 01:08:23,2,1.4,231,79,8.0,14.16,9.333333333333334,9.0,0,0,2,0,77.0,medium
2,2019-05-01 00:23:02,2019-05-01 00:55:27,1,18.19,132,186,52.0,61.42,32.416666666666664,33.66786632390746,0,0,2,0,18.11538461538462,long
1,2019-05-01 00:35:08,2019-05-01 00:46:42,1,3.8,48,41,13.0,20.15,11.566666666666666,19.711815561959654,0,0,2,0,54.99999999999999,medium
1,2019-05-01 00:33:11,2019-05-01 00:42:51,1,1.5,231,79,8.5,12.3,9.666666666666666,9.310344827586208,0,0,2,0,44.70588235294118,medium
1,2019-05-01 00:29:02,2019-05-01 00:36:21,1,2.3,162,263,8.5,13.3,7.316666666666666,18.861047835990888,0,0,2,0,56.47058823529413,medium
1,2019-05-01 00:50:34,2019-05-01 01:21:06,1,3.8,161,226,21.0,24.8,30.533333333333335,7.467248908296942,0,0,2,0,18.0952380952381,medium
2,2019-05-01 00:20:39,2019-05-01 00:52:54,1,18.0,132,186,52.0,73.7,32.25,33.48837209302326,0,0,2,0,41.73076923076924,long
1,2019-05-01 00:54:09,2019-05-01 01:02:41,3,1.5,246,246,8.0,14.15,8.533333333333333,10.546875,0,0,2,0,76.875,medium
1,2019-05-01 00:29:22,2019-05-01 00:44:06,3,2.7,231,107,12.0,18.95,14.733333333333333,10.995475113122172,0,0,2,0,57.91666666666666,medium
1,2019-05-01 00:45:16,2019-05-01 00:49:32,1,1.5,107,233,6.0,12.25,4.266666666666667,21.09375,0,0,2,0,104.16666666666667,medium
1,2019-05-01 00:22:54,2019-05-01 00:30:47,1,1.5,90,48,7.5,13.3,7.883333333333334,11.416490486257928,0,0,2,0,77.33333333333334,medium
1,2019-05-01 00:44:19,2019-05-01 01:11:34,1,8.0,246,61,26.5,33.3,27.25,17.61467889908257,0,0,2,0,25.660377358490553,long
2,2019-05-01 00:15:58,2019-05-01 00:25:35,6,1.98,142,161,9.0,15.36,9.616666666666667,12.353552859618716,0,0,2,0,70.66666666666666,medium
2,2019-05-01 00:46:31,2019-05-01 00:50:40,6,0.77,142,143,5.0,10.56,4.15,11.132530120481928,1,0,2,0,111.20000000000002,short
2,2019-05-01 00:01:38,2019-05-01 00:14:01,1,5.75,229,88,18.0,26.16,12.383333333333333,27.860026917900406,0,0,2,0,45.333333333333336,long
